Question,Category,Total antibody positive_r1,Total tests (with valid results)_r1,Crude prevalence_r1,Prevalence adjusted for test_r1,Weighted prevalence_r1,Total antibody positive_r2,Total tests (with valid results)_r2,Crude prevalence_r2,Prevalence adjusted for test_r2,Weighted prevalence_r2,Total antibody positive_r3,Total tests (with valid results)_r3,Crude prevalence_r3,Prevalence adjusted for test_r3,Weighted prevalence_r3,percent_diff_unweighted12,percent_diff_weighted12,percent_diff_unweighted23,percent_diff_weighted23,percent_diff_unweighted13,percent_diff_weighted13
bmi_lower,Normal (18.5-23.4),1014,19655,5.16 [4.86-5.48],4.53 [4.17-4.91],5.31 [4.93-5.71],899,20501,4.39 [4.11-4.67],3.60 [3.27-3.94],4.37 [4.02-4.73],1296,31423,4.12 [3.91-4.35],3.28 [3.02-3.55],3.90 [3.63-4.18],"-20.53 [-28.26, -12.80]","-17.89 [-24.67, -11.11]","-8.89 [-17.22, -0.56]","-10.76 [-17.85, -3.66]","-23.54 [-29.38, -17.70]","-26.74 [-32.96, -20.53]"
bmi_lower,Overweight (23.5-27.4),1951,35026,5.57 [5.33-5.82],5.02 [4.74-5.32],6.12 [5.81-6.44],1739,37362,4.65 [4.45-4.87],3.92 [3.67-4.18],4.75 [4.48-5.04],2387,55733,4.28 [4.12-4.45],3.47 [3.27-3.68],4.38 [4.16-4.60],"-21.91 [-27.29, -16.53]","-22.39 [-27.12, -17.65]","-11.48 [-17.35, -5.61]","-8.00 [-13.26, -2.74]","-25.33 [-29.25, -21.41]","-28.59 [-32.84, -24.35]"
bmi_lower,Obese (>=27.5),1941,33183,5.85 [5.60-6.11],5.36 [5.06-5.67],6.20 [5.88-6.53],1810,34860,5.19 [4.96-5.43],4.57 [4.29-4.86],5.47 [5.17-5.78],2541,50961,4.99 [4.80-5.18],4.32 [4.10-4.55],5.06 [4.82-5.31],"-14.74 [-20.15, -9.33]","-11.61 [-16.61, -6.61]","-5.25 [-10.72, 0.22]","-7.50 [-12.43, -2.56]","-16.61 [-20.81, -12.42]","-18.23 [-22.74, -13.71]"
CAREHOME,Yes,6,131,4.58 [2.12-9.63],3.83 [0.86-9.92],3.07 [0.51-8.37],18,259,6.95 [4.44-10.72],6.69 [3.66-11.23],8.28 [5.09-12.79],25,348,7.18 [4.91-10.39],6.97 [4.23-10.83],10.10 [6.93-14.27],"74.67 [-27.94, 177.28]","170.03 [50.16, 289.90]","4.04 [-47.09, 55.16]","21.86 [-22.10, 65.82]","101.95 [-19.54, 223.45]","228.99 [111.73, 346.25]"
CAREHOME,No,5538,99777,5.55 [5.41-5.69],5.00 [4.83-5.17],5.96 [5.78-6.15],4977,105570,4.71 [4.59-4.84],3.99 [3.84-4.15],4.82 [4.66-4.99],7012,159019,4.41 [4.31-4.51],3.63 [3.51-3.75],4.37 [4.24-4.50],"-20.20 [-23.40, -17.00]","-19.13 [-21.98, -16.28]","-9.02 [-12.53, -5.51]","-9.34 [-12.24, -6.43]","-22.99 [-25.34, -20.64]","-26.68 [-29.19, -24.16]"
symptoms_cat,No symptoms,1785,81076,2.20 [2.10-2.30],0.97 [0.85-1.09],1.42 [1.29-1.56],1632,87913,1.86 [1.77-1.95],0.55 [0.44-0.66],0.89 [0.78-1.01],2262,130401,1.73 [1.67-1.81],0.40 [0.32-0.49],0.76 [0.67-0.85],"-42.27 [-53.61, -30.93]","-37.32 [-45.77, -28.87]","-27.27 [-43.64, -10.91]","-14.61 [-25.84, -3.37]","-39.44 [-46.48, -32.39]","-46.48 [-54.23, -38.73]"
symptoms_cat,Atypical symptoms only,353,3500,10.09 [9.13-11.13],10.46 [9.31-11.72],11.16 [10.01-12.40],298,3243,9.19 [8.24-10.23],9.38 [8.24-10.64],9.03 [7.95-10.22],474,5145,9.21 [8.45-10.03],9.41 [8.50-10.40],10.21 [9.30-11.19],"-10.33 [-21.51, 0.86]","-19.00 [-29.12, -8.87]","0.21 [-10.98, 11.41]","13.07 [1.77, 24.36]","-9.50 [-19.00, 0.00]","-8.42 [-17.83, 0.99]"
symptoms_cat,Screening symptoms,3406,15332,22.21 [21.56-22.88],25.08 [24.29-25.88],27.54 [26.74-28.35],3065,14673,20.89 [20.24-21.55],23.48 [22.70-24.28],26.05 [25.26-26.86],4301,23821,18.06 [17.57-18.55],20.07 [19.48-20.66],21.79 [21.20-22.39],"-6.34 [-9.41, -3.27]","-5.41 [-8.24, -2.58]","-14.52 [-17.42, -11.63]","-16.31 [-18.96, -13.67]","-18.16 [-20.62, -15.69]","-20.84 [-23.35, -18.34]"
num_child,0,3647,67515,5.40 [5.23-5.57],4.82 [4.62-5.03],5.69 [5.47-5.91],3338,73258,4.56 [4.41-4.71],3.80 [3.62-3.99],4.52 [4.33-4.72],4693,109481,4.29 [4.17-4.41],3.48 [3.34-3.62],4.13 [3.98-4.29],"-20.95 [-24.90, -17.01]","-20.56 [-24.08, -17.05]","-8.68 [-12.89, -4.47]","-8.63 [-12.39, -4.87]","-23.55 [-26.54, -20.56]","-27.42 [-30.58, -24.25]"
num_child,1,851,14471,5.88 [5.51-6.28],5.40 [4.95-5.87],6.14 [5.67-6.63],777,14639,5.31 [4.96-5.68],4.71 [4.28-5.16],5.54 [5.10-6.00],1074,22130,4.85 [4.58-5.14],4.16 [3.83-4.51],5.05 [4.70-5.41],"-12.78 [-20.93, -4.63]","-9.61 [-16.94, -2.28]","-11.68 [-19.75, -3.61]","-8.84 [-16.06, -1.62]","-20.20 [-26.71, -13.68]","-17.59 [-24.27, -10.91]"
num_child,2,808,13803,5.85 [5.47-6.26],5.37 [4.91-5.85],6.80 [6.28-7.34],659,13955,4.72 [4.38-5.09],4.00 [3.59-4.44],4.98 [4.53-5.46],978,21471,4.55 [4.28-4.84],3.80 [3.47-4.15],4.62 [4.26-4.99],"-25.33 [-33.52, -17.13]","-26.76 [-33.82, -19.71]","-5.00 [-14.25, 4.25]","-7.43 [-15.66, 0.80]","-22.94 [-28.82, -17.06]","-32.21 [-38.68, -25.74]"
num_child,>2,238,4099,5.81 [5.13-6.56],5.31 [4.50-6.22],7.07 [6.18-8.04],221,3977,5.56 [4.89-6.31],5.01 [4.20-5.92],6.92 [6.04-7.88],291,6266,4.64 [4.15-5.19],3.91 [3.31-4.57],5.37 [4.73-6.07],"-5.65 [-21.47, 10.17]","-2.12 [-14.85, 10.61]","-22.16 [-36.73, -7.58]","-22.40 [-33.67, -11.13]","-19.94 [-30.27, -9.62]","-24.05 [-35.22, -12.87]"
covid_severity,No treatment,2308,11749,19.64 [18.94-20.37],21.98 [21.13-22.86],23.71 [22.85-24.59],2003,11058,18.11 [17.41-18.84],20.14 [19.29-21.01],22.28 [21.42-23.17],2936,17898,16.40 [15.87-16.95],18.08 [17.43-18.74],19.46 [18.81-20.12],"-8.42 [-12.24, -4.60]","-6.03 [-9.62, -2.45]","-10.23 [-13.95, -6.50]","-12.66 [-16.02, -9.29]","-16.49 [-19.65, -13.33]","-17.92 [-21.09, -14.76]"
covid_severity,Sought medical care,1201,5925,20.27 [19.27-21.31],22.73 [21.53-23.99],25.39 [24.16-26.66],1125,5754,19.55 [18.55-20.60],21.87 [20.66-23.13],23.60 [22.40-24.85],1475,9237,15.97 [15.24-16.73],17.55 [16.67-18.47],19.24 [18.35-20.16],"-3.78 [-9.06, 1.50]","-7.05 [-11.82, -2.28]","-19.75 [-24.55, -14.95]","-18.47 [-22.92, -14.03]","-20.40 [-24.54, -16.27]","-24.22 [-28.40, -20.05]"
covid_severity,Hospital admission,54,189,28.57 [22.61-35.39],32.74 [25.55-40.95],33.99 [26.98-41.90],66,206,32.04 [26.05-38.69],36.91 [29.69-44.93],37.39 [30.38-45.11],95,344,27.62 [23.16-32.57],31.59 [26.22-37.55],35.85 [30.61-41.53],"12.80 [-10.17, 35.77]","10.00 [-11.39, 31.39]","-14.44 [-32.27, 3.39]","-4.09 [-21.08, 12.89]","-3.35 [-22.86, 16.15]","5.50 [-13.36, 24.36]"
covid_severity,ICU,13,27,48.15 [30.74-66.01],56.32 [35.35-77.85],49.04 [31.87-67.96],16,35,45.71 [30.47-61.81],53.39 [35.02-72.78],46.51 [27.94-67.81],29,58,50.00 [37.54-62.46],58.55 [43.54-73.57],54.79 [40.69-69.31],"-5.22 [-42.13, 31.69]","-5.18 [-45.00, 34.65]","9.66 [-22.87, 42.20]","17.82 [-20.32, 55.97]","4.53 [-34.09, 43.15]","11.73 [-21.96, 45.41]"
num_child_under_5,0,4986,90458,5.51 [5.37-5.66],4.95 [4.78-5.14],5.89 [5.70-6.08],4558,96260,4.74 [4.60-4.87],4.02 [3.86-4.18],4.84 [4.67-5.01],6381,145252,4.39 [4.29-4.50],3.61 [3.48-3.73],4.35 [4.22-4.49],"-18.79 [-22.22, -15.35]","-17.83 [-20.88, -14.77]","-10.45 [-13.93, -6.97]","-10.12 [-13.22, -7.02]","-22.92 [-25.47, -20.37]","-26.15 [-28.86, -23.43]"
num_child_under_5,1,451,7906,5.70 [5.21-6.24],5.19 [4.60-5.83],5.94 [5.34-6.59],360,8038,4.48 [4.05-4.95],3.71 [3.19-4.28],4.66 [4.12-5.24],570,11965,4.76 [4.40-5.16],4.05 [3.61-4.53],4.71 [4.26-5.19],"-28.32 [-39.31, -17.34]","-21.55 [-31.31, -11.78]","9.16 [-4.04, 22.37]","1.07 [-9.66, 11.80]","-19.02 [-27.95, -10.10]","-20.71 [-29.80, -11.62]"
num_child_under_5,2,105,1487,7.06 [5.87-8.48],6.82 [5.38-8.53],10.05 [8.44-11.90],72,1475,4.88 [3.89-6.10],4.19 [3.00-5.67],5.24 [4.02-6.72],84,2069,4.06 [3.29-5.00],3.20 [2.28-4.34],4.62 [3.58-5.84],"-38.56 [-59.24, -17.89]","-47.86 [-62.89, -32.84]","-23.63 [-51.07, 3.82]","-12.02 [-35.11, 11.07]","-36.02 [-48.86, -23.18]","-54.13 [-68.26, -40.00]"
num_child_under_5,>2,2,57,3.51 [0.97-11.92],2.54 [0.00-12.68],0.00 [0.00-6.74],5,56,8.93 [3.87-19.26],9.07 [2.98-21.51],8.19 [2.59-19.75],2,81,2.47 [0.68-8.56],1.29 [0.00-8.63],0.82 [0.00-7.09],"257.09 [-32.68, 546.85]","Inf [Inf, Inf]","-85.78 [-160.75, -10.80]","-89.99 [-165.57, -14.41]","-Inf [-Inf, Inf]","Inf [-Inf, Inf]"
num_child_5_to_10,0,4880,87764,5.56 [5.41-5.71],5.01 [4.83-5.20],5.92 [5.73-6.12],4441,93603,4.74 [4.61-4.88],4.03 [3.87-4.20],4.87 [4.69-5.04],6200,140455,4.41 [4.31-4.52],3.63 [3.50-3.76],4.38 [4.24-4.52],"-19.76 [-23.15, -16.37]","-17.74 [-20.78, -14.70]","-9.68 [-13.15, -6.20]","-10.27 [-13.35, -7.19]","-23.31 [-25.84, -20.78]","-26.18 [-28.89, -23.48]"
num_child_5_to_10,1,494,9383,5.26 [4.83-5.74],4.66 [4.13-5.22],5.78 [5.21-6.39],416,9482,4.39 [3.99-4.82],3.60 [3.12-4.12],4.35 [3.85-4.89],652,14560,4.48 [4.15-4.83],3.71 [3.32-4.13],4.52 [4.10-4.97],"-22.53 [-33.48, -11.59]","-24.74 [-34.08, -15.40]","3.06 [-9.17, 15.28]","3.91 [-6.90, 14.71]","-16.26 [-24.39, -8.13]","-21.80 [-30.62, -12.98]"
num_child_5_to_10,2,164,2610,6.28 [5.42-7.28],5.88 [4.84-7.08],7.84 [6.64-9.19],129,2597,4.97 [4.20-5.87],4.30 [3.37-5.39],4.78 [3.82-5.90],171,4078,4.19 [3.62-4.85],3.37 [2.67-4.16],3.93 [3.20-4.76],"-26.87 [-44.56, -9.18]","-38.90 [-53.32, -24.49]","-21.86 [-41.86, -1.86]","-17.78 [-36.61, 1.05]","-32.14 [-44.01, -20.28]","-49.74 [-62.88, -36.61]"
num_child_5_to_10,>2,6,151,3.97 [1.83-8.40],3.10 [0.52-8.43],8.54 [4.48-14.86],9,147,6.12 [3.25-11.23],5.69 [2.23-11.84],13.88 [8.88-20.77],14,274,5.11 [3.07-8.39],4.47 [2.01-8.42],6.00 [3.22-10.20],"83.55 [-49.68, 216.77]","62.65 [-0.59, 125.88]","-21.44 [-89.63, 46.75]","-56.77 [-90.85, -22.69]","16.04 [-23.42, 55.50]","-29.63 [-79.39, 20.14]"
num_child_11_to_17,0,4624,84694,5.46 [5.31-5.61],4.89 [4.71-5.08],5.81 [5.62-6.01],4164,90623,4.59 [4.46-4.73],3.85 [3.69-4.02],4.59 [4.41-4.76],5869,135750,4.32 [4.22-4.43],3.52 [3.39-3.65],4.21 [4.07-4.35],"-21.47 [-24.95, -18.00]","-21.00 [-24.10, -17.90]","-8.31 [-11.95, -4.68]","-8.50 [-11.76, -5.23]","-23.58 [-26.33, -20.83]","-27.71 [-30.64, -24.78]"
num_child_11_to_17,1,658,10984,5.99 [5.56-6.45],5.53 [5.01-6.08],6.68 [6.12-7.28],587,10932,5.37 [4.96-5.81],4.78 [4.29-5.31],5.96 [5.43-6.54],845,16980,4.98 [4.66-5.31],4.31 [3.93-4.72],5.42 [5.01-5.86],"-13.56 [-22.78, -4.34]","-10.63 [-18.86, -2.40]","-9.83 [-19.04, -0.63]","-9.06 [-17.11, -1.01]","-18.26 [-25.15, -11.38]","-18.71 [-26.20, -11.23]"
num_child_11_to_17,2,233,3815,6.11 [5.39-6.91],5.67 [4.81-6.64],6.94 [5.96-8.03],212,3891,5.45 [4.78-6.21],4.88 [4.07-5.79],6.59 [5.66-7.64],296,5994,4.94 [4.42-5.52],4.26 [3.64-4.96],5.73 [5.01-6.52],"-13.93 [-29.28, 1.41]","-5.04 [-19.31, 9.22]","-12.50 [-27.87, 2.87]","-13.20 [-26.25, -0.15]","-20.17 [-31.41, -8.93]","-17.58 [-30.26, -4.90]"
num_child_11_to_17,>2,29,415,6.99 [4.91-9.86],6.73 [4.23-10.19],8.89 [6.10-12.55],32,383,8.36 [5.98-11.56],8.38 [5.52-12.24],13.64 [10.10-18.05],27,643,4.20 [2.90-6.04],3.37 [1.81-5.59],1.95 [0.70-3.82],"24.67 [-20.95, 70.28]","53.43 [13.84, 93.03]","-59.90 [-91.41, -28.40]","-85.70 [-107.18, -64.22]","-37.80 [-64.90, -10.69]","-78.07 [-105.62, -50.51]"
ethnic,White British,4415,86790,5.09 [4.94-5.24],4.44 [4.27-4.62],4.84 [4.65-5.03],4017,92292,4.35 [4.22-4.49],3.56 [3.40-3.72],3.87 [3.71-4.04],5665,139305,4.07 [3.96-4.17],3.21 [3.09-3.34],3.47 [3.34-3.61],"-20.27 [-23.87, -16.67]","-20.04 [-23.55, -16.53]","-9.27 [-13.20, -5.34]","-10.34 [-14.21, -6.46]","-25.41 [-28.51, -22.31]","-28.31 [-31.61, -25.00]"
ethnic,White Irish,78,968,8.06 [6.50-9.94],8.02 [6.15-10.29],9.77 [7.79-12.11],64,990,6.46 [5.09-8.17],6.10 [4.45-8.16],7.46 [5.71-9.58],85,1538,5.53 [4.49-6.78],4.97 [3.72-6.49],6.07 [4.72-7.68],"-23.94 [-47.76, -0.12]","-23.64 [-44.01, -3.28]","-18.36 [-44.43, 7.70]","-18.63 [-41.02, 3.75]","-31.12 [-48.62, -13.61]","-37.87 [-56.29, -19.45]"
ethnic,White gypsy or Irish traveller,1,32,3.12 [0.55-15.74],2.08 [0.00-17.28],1.66 [0.00-15.39],2,21,9.52 [2.65-28.91],9.79 [1.51-33.15],6.62 [0.62-24.78],3,33,9.09 [3.14-23.57],9.27 [2.10-26.71],5.20 [0.22-20.73],"370.67 [-185.10, 926.44]","299.40 [-234.34, 833.13]","-5.21 [-140.25, 129.83]","-21.75 [-172.36, 128.85]","433.73 [-141.57, 1009.04]","212.65 [-256.02, 681.33]"
ethnic,Any other white background,333,4947,6.73 [6.07-7.46],6.42 [5.62-7.31],6.67 [5.88-7.53],301,4700,6.40 [5.74-7.14],6.03 [5.23-6.92],6.29 [5.52-7.13],423,7351,5.75 [5.24-6.31],5.25 [4.63-5.92],5.61 [5.01-6.27],"-6.23 [-19.00, 6.54]","-5.55 [-17.54, 6.45]","-12.94 [-25.04, -0.83]","-10.81 [-22.10, 0.48]","-17.69 [-28.64, -6.75]","-15.74 [-26.54, -4.95]"
ethnic,Mixed white / black Carribean,27,321,8.41 [5.84-11.96],8.45 [5.36-12.72],10.57 [6.96-15.46],17,313,5.43 [3.42-8.52],4.86 [2.43-8.58],6.67 [3.89-10.70],23,436,5.28 [3.54-7.79],4.67 [2.58-7.70],3.85 [1.96-6.65],"-42.49 [-81.18, -3.79]","-36.99 [-72.28, -1.70]","-3.91 [-59.88, 52.06]","-42.13 [-84.41, 0.15]","-35.76 [-64.71, -6.81]","-63.58 [-94.99, -32.17]"
ethnic,mixed white / black African,12,107,11.21 [6.53-18.59],11.83 [6.18-20.71],10.36 [5.15-18.82],8,110,7.27 [3.73-13.70],7.08 [2.81-14.82],9.94 [4.91-18.14],8,163,4.91 [2.51-9.38],4.23 [1.33-9.62],4.02 [1.23-9.23],"-40.15 [-94.17, 13.86]","-4.05 [-66.51, 58.40]","-40.11 [-109.04, 28.81]","-59.66 [-112.17, -7.14]","-73.26 [-127.99, -18.53]","-61.29 [-113.03, -9.56]"
ethnic,Mixed white and Asian,26,396,6.57 [4.52-9.45],6.22 [3.76-9.69],7.11 [4.23-11.23],24,422,5.69 [3.85-8.32],5.17 [2.95-8.34],5.28 [2.91-8.77],32,608,5.26 [3.75-7.34],4.65 [2.83-7.15],5.94 [3.84-8.77],"-17.04 [-60.93, 26.85]","-25.60 [-69.34, 18.14]","-10.06 [-55.51, 35.40]","12.31 [-37.12, 61.74]","-22.22 [-57.38, 12.94]","-16.46 [-57.52, 24.61]"
ethnic,Any other mixed / multiple ethnic background,41,523,7.84 [5.83-10.46],7.76 [5.34-10.92],8.76 [5.94-12.50],27,463,5.83 [4.04-8.35],5.34 [3.18-8.38],5.84 [3.46-9.23],45,658,6.84 [5.15-9.03],6.55 [4.52-9.19],7.39 [5.13-10.32],"-31.19 [-64.82, 2.45]","-33.33 [-67.47, 0.80]","22.66 [-22.10, 67.42]","26.54 [-18.84, 71.92]","-13.81 [-42.24, 14.61]","-15.64 [-48.29, 17.01]"
ethnic,Indian,177,1847,9.58 [8.32-11.01],9.86 [8.34-11.58],10.68 [9.41-12.08],177,2092,8.46 [7.34-9.73],8.51 [7.16-10.04],9.80 [8.60-11.11],212,2920,7.26 [6.37-8.26],7.06 [5.99-8.26],7.37 [6.49-8.34],"-13.69 [-28.80, 1.42]","-8.15 [-19.94, 3.65]","-17.04 [-31.84, -2.23]","-24.80 [-35.82, -13.78]","-26.22 [-38.95, -13.48]","-30.90 [-41.39, -20.41]"
ethnic,Pakistani,54,503,10.74 [8.32-13.74],11.25 [8.34-14.87],13.57 [11.75-15.60],52,509,10.22 [7.88-13.15],10.62 [7.80-14.16],15.85 [13.95-17.95],73,720,10.14 [8.14-12.56],10.53 [8.12-13.45],14.28 [12.76-15.93],"-5.51 [-33.33, 22.31]","16.80 [2.73, 30.88]","-0.94 [-27.78, 25.89]","-9.97 [-21.07, 1.14]","-5.31 [-26.68, 16.06]","5.16 [-7.52, 17.83]"
ethnic,Bangladeshi,24,189,12.70 [8.68-18.20],13.61 [8.78-20.24],13.64 [10.88-16.90],27,224,12.05 [8.42-16.97],12.84 [8.45-18.76],11.57 [9.19-14.39],26,289,9.00 [6.21-12.86],9.15 [5.80-13.80],6.68 [5.04-8.68],"-5.73 [-44.67, 33.21]","-15.18 [-35.26, 4.91]","-28.58 [-63.40, 6.23]","-42.35 [-61.19, -23.51]","-32.62 [-67.82, 2.57]","-51.10 [-68.84, -33.36]"
ethnic,Chinese,29,410,7.07 [4.97-9.97],6.84 [4.30-10.33],6.73 [4.50-9.69],18,406,4.43 [2.82-6.90],3.65 [1.71-6.62],4.22 [2.40-6.79],30,614,4.89 [3.44-6.89],4.20 [2.46-6.61],6.11 [4.33-8.38],"-46.49 [-85.23, -7.75]","-37.30 [-71.77, -2.82]","15.07 [-44.66, 74.79]","44.79 [-3.55, 93.13]","-39.08 [-76.23, -1.93]","-9.21 [-42.64, 24.22]"
ethnic,Other Asian,85,709,11.99 [9.80-14.59],12.76 [10.12-15.89],13.70 [11.57-16.12],66,699,9.44 [7.49-11.84],9.69 [7.34-12.57],11.25 [9.31-13.49],98,975,10.05 [8.32-12.10],10.42 [8.33-12.89],12.53 [10.84-14.41],"-24.06 [-45.06, -3.06]","-17.88 [-33.43, -2.34]","7.53 [-17.13, 32.20]","11.38 [-5.42, 28.18]","-17.08 [-35.55, 1.39]","-8.54 [-23.07, 5.99]"
ethnic,African,90,519,17.34 [14.33-20.84],19.21 [15.57-23.42],20.78 [18.52-23.24],69,535,12.90 [10.32-16.00],13.85 [10.75-17.60],13.97 [12.13-16.02],108,749,14.42 [12.08-17.12],15.69 [12.87-18.94],17.24 [15.52-19.10],"-27.80 [-46.49, -9.11]","-32.72 [-42.88, -22.57]","13.21 [-9.53, 35.96]","23.34 [10.31, 36.36]","-16.89 [-33.35, -0.43]","-17.04 [-26.85, -7.22]"
ethnic,Caribbean,38,320,11.88 [8.78-15.88],12.62 [8.89-17.45],13.74 [11.45-16.36],27,322,8.39 [5.83-11.92],8.42 [5.33-12.68],8.19 [6.18-10.65],29,444,6.53 [4.59-9.22],6.18 [3.84-9.43],7.17 [5.62-9.02],"-33.20 [-63.87, -2.54]","-40.39 [-57.06, -23.73]","-26.60 [-64.13, 10.93]","-12.33 [-35.90, 11.23]","-46.80 [-72.34, -21.25]","-47.74 [-62.74, -32.75]"
ethnic,Other black / African / Caribbean background,7,61,11.48 [5.67-21.84],12.14 [5.15-24.63],9.91 [5.75-16.03],6,79,7.59 [3.53-15.60],7.46 [2.56-17.10],10.31 [6.42-15.78],17,111,15.32 [9.79-23.16],16.77 [10.11-26.22],15.88 [12.05-20.56],"-38.55 [-106.26, 29.16]","3.94 [-44.00, 51.87]","124.80 [25.87, 223.73]","54.03 [11.93, 96.12]","46.72 [-40.67, 134.11]","60.14 [14.03, 106.26]"
ethnic,Arab,15,168,8.93 [5.49-14.21],9.07 [4.92-15.43],9.67 [6.27-14.32],10,169,5.92 [3.25-10.55],5.44 [2.22-11.02],4.85 [2.24-9.04],20,248,8.06 [5.28-12.13],8.03 [4.68-12.92],9.05 [6.01-13.15],"-39.91 [-91.07, 11.25]","-49.74 [-86.87, -12.62]","47.24 [-27.76, 122.24]","86.39 [17.32, 155.46]","-10.86 [-57.91, 36.19]","-6.41 [-44.57, 31.75]"
ethnic,Any other ethnic group,64,594,10.77 [8.53-13.52],11.29 [8.59-14.61],13.06 [10.62-15.90],60,770,7.79 [6.10-9.90],7.70 [5.66-10.24],9.11 [7.06-11.58],78,1145,6.81 [5.49-8.42],6.52 [4.93-8.46],8.11 [6.47-10.04],"-31.80 [-54.83, -8.77]","-30.25 [-48.55, -11.94]","-15.32 [-41.04, 10.39]","-10.98 [-32.71, 10.76]","-36.52 [-54.90, -18.15]","-37.90 [-54.67, -21.13]"
ethnic,Prefer not to say,28,479,5.85 [4.07-8.32],5.36 [3.22-8.34],6.10 [4.07-8.77],23,713,3.23 [2.16-4.79],2.20 [0.91-4.09],4.18 [2.58-6.35],61,1035,5.89 [4.62-7.50],5.41 [3.87-7.35],5.37 [3.89-7.21],"-58.96 [-97.20, -20.71]","-31.48 [-65.25, 2.30]","145.91 [72.73, 219.09]","28.47 [-12.68, 69.62]","0.82 [-33.77, 35.41]","-11.97 [-44.26, 20.33]"
work_type_broad,Healthcare,452,4553,9.93 [9.09-10.83],10.27 [9.27-11.36],11.43 [10.35-12.60],451,4623,9.76 [8.93-10.64],10.07 [9.08-11.14],11.37 [10.31-12.51],691,7108,9.72 [9.05-10.43],10.03 [9.22-10.88],11.99 [11.11-12.91],"-2.04 [-11.88, 7.79]","-0.61 [-10.06, 8.84]","-0.50 [-9.53, 8.54]","5.54 [-3.08, 14.16]","-2.27 [-10.32, 5.77]","4.90 [-3.76, 13.56]"
work_type_broad,Care home,127,907,14.00 [11.90-16.41],15.18 [12.65-18.09],17.81 [15.02-20.96],95,951,9.99 [8.24-12.06],10.35 [8.24-12.84],12.04 [9.75-14.72],131,1236,10.60 [9.00-12.44],11.08 [9.16-13.30],12.54 [10.52-14.84],"-31.82 [-47.96, -15.68]","-32.40 [-47.39, -17.41]","7.05 [-13.53, 27.63]","4.15 [-14.70, 23.01]","-23.02 [-36.22, -9.83]","-29.59 [-43.80, -15.38]"
work_type_broad,Other essential worker,1209,19927,6.07 [5.74-6.41],5.62 [5.23-6.03],6.63 [6.21-7.07],1019,19615,5.20 [4.89-5.51],4.57 [4.21-4.96],5.23 [4.85-5.64],1463,29572,4.95 [4.71-5.20],4.27 [3.98-4.58],4.93 [4.62-5.25],"-18.68 [-25.44, -11.92]","-21.12 [-27.15, -15.08]","-6.56 [-13.79, 0.66]","-5.74 [-12.43, 0.96]","-20.36 [-25.49, -15.23]","-25.64 [-31.22, -20.06]"
work_type_broad,Other worker,2189,37855,5.78 [5.55-6.02],5.28 [5.00-5.57],6.50 [6.20-6.82],1982,40782,4.86 [4.66-5.07],4.17 [3.92-4.43],5.17 [4.90-5.44],2704,60731,4.45 [4.29-4.62],3.68 [3.48-3.88],4.35 [4.14-4.56],"-21.02 [-25.95, -16.10]","-20.62 [-24.92, -16.31]","-11.99 [-17.27, -6.71]","-15.86 [-20.50, -11.22]","-24.77 [-28.46, -21.08]","-33.23 [-37.23, -29.23]"
work_type_broad,Not in employment,1516,35737,4.24 [4.04-4.46],3.42 [3.18-3.68],4.18 [3.92-4.45],1412,39030,3.62 [3.44-3.81],2.67 [2.45-2.90],3.38 [3.15-3.63],1988,59369,3.35 [3.21-3.50],2.35 [2.18-2.53],3.10 [2.91-3.29],"-21.93 [-28.65, -15.20]","-18.90 [-24.64, -13.16]","-11.99 [-19.48, -4.49]","-8.58 [-14.79, -2.37]","-25.60 [-30.62, -20.57]","-25.84 [-31.10, -20.57]"
age_group_broad,18-24,463,6499,7.12 [6.52-7.78],6.90 [6.17-7.68],7.86 [7.26-8.50],411,6493,6.33 [5.76-6.95],5.94 [5.26-6.68],7.31 [6.75-7.90],574,8763,6.55 [6.05-7.09],6.21 [5.60-6.85],6.70 [6.25-7.17],"-13.77 [-24.06, -3.48]","-7.12 [-14.50, 0.25]","4.38 [-6.57, 15.32]","-8.34 [-15.32, -1.37]","-8.78 [-17.30, -0.25]","-14.89 [-21.63, -8.14]"
age_group_broad,25-44,1894,30418,6.23 [5.96-6.50],5.82 [5.49-6.15],6.98 [6.65-7.32],1612,30703,5.25 [5.01-5.51],4.64 [4.35-4.95],5.51 [5.22-5.82],2238,46899,4.77 [4.58-4.97],4.06 [3.83-4.30],4.89 [4.66-5.12],"-20.27 [-25.60, -14.95]","-21.06 [-25.50, -16.62]","-12.50 [-18.10, -6.90]","-11.43 [-16.15, -6.72]","-25.21 [-29.23, -21.20]","-30.09 [-34.10, -26.07]"
age_group_broad,45-64,2386,41038,5.81 [5.59-6.04],5.32 [5.05-5.60],6.18 [5.86-6.51],2174,43327,5.02 [4.82-5.23],4.36 [4.12-4.61],5.12 [4.83-5.42],3096,65273,4.74 [4.58-4.91],4.03 [3.83-4.23],4.67 [4.44-4.91],"-17.86 [-22.56, -13.16]","-17.15 [-22.01, -12.30]","-7.80 [-12.84, -2.75]","-8.79 [-13.87, -3.71]","-20.87 [-24.60, -17.15]","-24.43 [-28.80, -20.06]"
